Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Joe Aribo,ng NGA,"MF,DF",28,32,21,2013,22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,0.13,0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,Matches,Southampton
Tyler Dibling,eng ENG,"FW,MF",18,33,20,1874,20.8,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,69,64,96,0.1,0,0.1,0.1,0.1,0.12,0.07,0.2,0.12,0.2,Matches,Southampton
Lesley Ugochukwu,fr FRA,MF,20,26,18,1655,18.4,1,1,2,1,0,0,7,0,0.9,0.9,1,1.9,29,49,20,0.05,0.05,0.11,0.05,0.11,0.05,0.06,0.1,0.05,0.1,Matches,Southampton
Ryan Manning,ie IRL,"DF,MF",28,24,18,1462,16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0,0.06,0.06,0,0.06,0.02,0.2,0.22,0.02,0.22,Matches,Southampton
Kamaldeen Sulemana,gh GHA,"FW,MF",22,26,17,1402,15.6,1,1,2,1,0,0,2,0,1.5,1.5,1,2.5,63,27,87,0.06,0.06,0.13,0.06,0.13,0.1,0.06,0.16,0.1,0.16,Matches,Southampton
Jack Stephens,eng ENG,DF,30,19,17,1389,15.4,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,14,63,2,0.06,0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches,Southampton
Yukinari Sugawara,jp JPN,"DF,MF",24,30,16,1557,17.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,33,72,78,0.06,0.06,0.12,0.06,0.12,0.03,0.13,0.16,0.03,0.16,Matches,Southampton
Adam Armstrong,eng ENG,"FW,MF",27,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,Southampton
Cameron Archer,eng ENG,FW,23,35,13,1441,16,2,0,2,2,0,1,0,0,5.7,4.9,0.5,5.4,22,14,66,0.12,0,0.12,0.12,0.12,0.36,0.03,0.39,0.31,0.34,Matches,Southampton
James Bree,eng ENG,DF,26,17,13,1075,11.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1,13,34,43,0,0.08,0.08,0,0.08,0.01,0.08,0.08,0.01,0.08,Matches,Southampton
Paul Onuachu,ng NGA,FW,30,25,11,1050,11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,Matches,Southampton
Nathan Wood-Gordon,eng ENG,DF,22,11,9,773,8.6,0,0,0,0,0,0,2,0,0.2,0.2,0,0.3,2,17,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,Southampton
William Smallbone,ie IRL,MF,24,18,6,690,7.7,1,0,1,1,0,0,1,0,0.6,0.6,0.7,1.3,5,27,25,0.13,0,0.13,0.13,0.13,0.07,0.1,0.17,0.07,0.17,Matches,Southampton
Welington,br BRA,DF,23,10,6,482,5.4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,5,11,19,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,Southampton
Alex McCarthy,eng ENG,GK,34,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Southampton
Adam Lallana,eng ENG,MF,36,14,5,361,4,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0,0.5,0.5,0,0.5,0.04,0.23,0.27,0.04,0.27,Matches,Southampton
Ben Brereton,cl CHI,FW,25,10,4,449,5,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1,12,9,42,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2,Matches,Southampton
Ross Stewart,sct SCO,FW,28,12,4,389,4.3,1,0,1,1,0,0,1,0,1.1,1.1,0,1.1,3,2,10,0.23,0,0.23,0.23,0.23,0.25,0,0.25,0.25,0.25,Matches,Southampton
Ryan Fraser,sct SCO,"FW,DF",30,8,4,306,3.4,0,0,0,0,0,0,0,1,0,0,0.1,0.1,10,8,18,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,Southampton
Charlie Taylor,eng ENG,DF,30,8,3,356,4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,9,7,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,Southampton
Joe Lumley,eng ENG,GK,29,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Southampton
Armel Bella Kotchap,de GER,DF,22,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,5,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches,Southampton
Albert Grønbaek,dk DEN,"FW,MF",23,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,3,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08,Matches,Southampton
Jay Robinson,eng ENG,"MF,FW",17,4,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0.7,0.7,3,1,10,0,0,0,0,0,0.03,0.44,0.47,0.03,0.47,Matches,Southampton
Maxwel Cornet,ci CIV,FW,27,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,0,5,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches,Southampton
Samuel Edozie,eng ENG,"DF,FW",21,2,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0.1,0.1,6,4,23,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches,Southampton
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18,2,0,28,0.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,0,3,0,0,0,0,0,0.07,0.22,0.29,0.07,0.29,Matches,Southampton
Joachim Kayi Sanda,fr FRA,DF,17,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,Southampton
Ronnie Edwards,eng ENG,DF,21,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Southampton
Carlos Alcaraz,ar ARG,MF,21,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0,0,0,0,0,0.62,0.86,1.48,0.62,1.48,Matches,Southampton
Jayden Moore,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Joe O'Brien-Whitmarsh,ie IRL,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Squad Total,,,25.2,38,418,3420,38,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,1118,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,,Southampton
Opponent Total,,,26.2,38,418,3420,38,86,61,147,79,7,9,54,1,84.8,77.9,63,140.9,814,1647,1635,2.26,1.61,3.87,2.08,3.68,2.23,1.66,3.89,2.05,3.71,,Southampton
